bfield	diode	hall	time 		
324.1931226E-3	-4.0926292E+0	2.9999365E+0	34.4000015E+0
324.1922427E-3	-4.0952365E+0	2.9999284E+0	34.5000000E+0
324.1907835E-3	-4.1005661E+0	2.9999149E+0	34.6000023E+0
324.1546547E-3	-4.0844642E+0	2.9995813E+0	34.7000008E+0
324.1774833E-3	-4.0641537E+0	2.9997921E+0	34.7999992E+0
324.1575407E-3	-4.0370611E+0	2.9996079E+0	34.9000015E+0
324.1603384E-3	-4.0285594E+0	2.9996338E+0	35.0000000E+0
324.1684510E-3	-4.0294537E+0	2.9997087E+0	35.1000023E+0
324.1942488E-3	-4.0353940E+0	2.9999469E+0	35.2000008E+0
324.1875624E-3	-4.0544767E+0	2.9998852E+0	35.2999992E+0
324.1788687E-3	-4.0768210E+0	2.9998049E+0	35.4000015E+0
324.1875970E-3	-4.0905279E+0	2.9998855E+0	35.5000000E+0
324.1663997E-3	-4.0878643E+0	2.9996897E+0	35.6000023E+0
324.1814027E-3	-4.1003347E+0	2.9998283E+0	35.7000008E+0
324.1917534E-3	-4.1163344E+0	2.9999239E+0	35.7999992E+0
324.1636288E-3	-4.1341050E+0	2.9996642E+0	35.9000015E+0
324.1865764E-3	-4.1448303E+0	2.9998761E+0	36.0000000E+0
324.1884976E-3	-4.1435939E+0	2.9998938E+0	36.1000023E+0
324.1857011E-3	-4.1247884E+0	2.9998680E+0	36.2000008E+0
324.2115652E-3	-4.1074735E+0	3.0001068E+0	36.2999992E+0
324.2175919E-3	-4.1239518E+0	3.0001624E+0	36.4000015E+0
324.2280358E-3	-4.1245963E+0	3.0002589E+0	36.5000000E+0
324.1627629E-3	-4.1022503E+0	2.9996562E+0	36.6000023E+0
324.1983314E-3	-4.0954854E+0	2.9999846E+0	36.7000008E+0
324.1774833E-3	-4.0821271E+0	2.9997921E+0	36.7999992E+0
324.1798894E-3	-4.0725945E+0	2.9998143E+0	36.9000015E+0
324.1883244E-3	-4.0485029E+0	2.9998922E+0	37.0000000E+0
324.1949175E-3	-4.0562655E+0	2.9999531E+0	37.1000023E+0
324.2082055E-3	-4.0720001E+0	3.0000758E+0	37.2000008E+0
324.1889696E-3	-4.0733832E+0	2.9998981E+0	37.2999992E+0
324.1920997E-3	-4.0786139E+0	2.9999271E+0	37.4000015E+0
324.1648612E-3	-4.0758501E+0	2.9996755E+0	37.5000000E+0
324.1969141E-3	-4.0694700E+0	2.9999715E+0	37.6000023E+0
324.1851686E-3	-4.0707291E+0	2.9998631E+0	37.7000008E+0
