angle,B,strength,E_i,v_i,E_f,v_f,id
0.13994081389864443,0.03721860930465233,0.01702301970547764,4.164066635001337,[-7.64902502e-06  1.88014041e-04  1.21144108e-02  9.99926600e-01],-5.175383491729511,[ 0.01002661 -0.99054458 -0.13681189  0.00184384],2->1
0.13994081389864443,0.3885942971485743,0.45648089497929806,-0.18832166550159096,[ 0.05887921 -0.98828989 -0.13962974 -0.01788472],-9.508228812426351,[ 0.00402701 -0.09615673  0.57854473  0.80995288],2->1
0.13994081389864443,0.07723861930965484,0.7273962211472362,2.505963756803576,[-4.82963300e-05  1.18635512e-03  2.81513132e-02  9.99602968e-01],-6.829389675671703,[ 0.00226568 -0.13663917  0.99023024 -0.02772508],2->0
0.13994081389864443,0.3137568784392196,0.7986589644482167,-1.243962423101086,[ 0.05243374 -0.98841573 -0.14031326 -0.02443848],-10.57002373129958,[ 0.00455578 -0.12592754  0.94262614 -0.30915604],2->0
0.13994081389864443,0.7147573786893447,0.755808842439118,-15.34280857352228,[ 0.00652568 -0.13708476  0.95411954  0.26612232],-24.672673016235528,[-0.00103419  0.0257176  -0.26513888  0.96386665],1->0
0.1415131825941348,0.03721860930465233,0.01739102008275773,4.164445481611629,[-7.90917208e-06  1.92217627e-04  1.22493512e-02  9.99924955e-01],-5.175080904714161,[ 0.01013695 -0.99033942 -0.13828056  0.00188443],2->1
0.1415131825941348,0.38899449724862434,0.46010146020633524,-0.18078015326503402,[ 0.05956659 -0.98802019 -0.14118852 -0.01826841],-9.505239473308976,[ 0.00413708 -0.09762528  0.58030085  0.80851908],2->1
0.1415131825941348,0.07723861930965484,0.7269080591672641,2.5068438181503843,[-4.99321465e-05  1.21269721e-03  2.84641631e-02  9.99594077e-01],-6.830238265880739,[ 0.00231548 -0.13810231  0.99001871 -0.02802384],2->0
0.1415131825941348,0.3133566783391696,0.7962958070339903,-1.2478819839004422,[ 0.05297817 -0.98814421 -0.14190326 -0.0250559 ],-10.571478671720211,[ 0.00464972 -0.12718948  0.94216491 -0.31004272],2->0
0.1415131825941348,0.7139569784892447,0.7559481105254874,-15.323144055825756,[ 0.00666983 -0.138559    0.95306363  0.26912195],-24.64755154989699,[-0.0010695   0.0263031  -0.26810472  0.96303004],1->0
